name,population
Congo,211.2643588
Burun,219.5297995
Ethio,302.0980047
Liber,326.6042804
Malaw,359.5795268
Niger,359.801242
Eritr,368.7477582
Mozam,386.9631655
Madag,419.2238133
Guine,435.448888
Sierr,447.7533238
Centr,456.5634087
Togo,503.1617885
Ugand,505.9876849
Low i,514.4096161
Rwand,519.0223545
Tanza,524.6937886
Guine,526.5210239
Afgha,561.1976175
Gambi,566.3353254
Zimba,568.4275419
Burki,592.6074699
Nepal,596.3785934
Bangl,664.0642317
Haiti,670.4032924
Mali,673.6946614
Benin,689.6483313
Heavi,692.6344654
Least,702.5589241
Tajik,739.7378228
Cambo,782.6188886
Kenya,787.0639352
Comor,795.4784368
Timor,817.766621
Kyrgy,880.0385141
Chad,909.2999069
Seneg,998.5995764
Mauri,1017.166278
Pakis,1024.588886
Camer,1090.619066
Lesot,1097.02433
Lao P,1122.852316
Sao T,1127.981667
Cote ,1207.84514
Zambi,1224.953863
Solom,1289.067051
South,1290.674988
Sub-S,1311.505531
Sub-S,1324.762532
Ghana,1326.066112
Vietn,1333.583526
Uzbek,1377.082143
Papua,1382.143749
Yemen,1400.667685
India,1419.105666
Sudan,1422.368103
Niger,1437.048907
Nicar,1474.748819
South,1526.917011
Kirib,1539.047436
Moldo,1631.533195
Lower,1710.234275
Boliv,1934.675258
Hondu,2063.931749
Phili,2135.918407
Bhuta,2211.232907
Mongo,2285.645378
Sri L,2400.015575
Georg,2613.689508
Syria,2746.85381
Egypt,2803.532963
Moroc,2822.733739
Micro,2838.448841
Guyan,2873.951538
Guate,2882.400219
Pacif,2904.19054
Congo,2920.406708
Indon,2946.656059
Vanua,2965.75121
Ukrai,2973.981709
Samoa,3075.651529
Swazi,3093.53953
Parag,3100.50164
Marsh,3112.840467
Armen,3124.788199
Tuval,3238.496111
Kosov,3238.646286
Low &,3320.237586
Cape ,3413.263369
El Sa,3444.456148
Tonga,3546.77782
Fiji,3747.674635
Alban,3764.326348
Middl,3792.22955
East ,3885.15356
Middl,3988.363216
Tunis,4206.779922
Angol,4218.649126
Other,4273.572893
Alger,4349.569325
Bosni,4361.877138
Jorda,4370.721033
Iraq,4375.906225
Turkm,4392.719583
China,4433.36122
Maced,4442.295954
Ecuad,4500.591558
Beliz,4529.885449
Thail,4802.662758
Jamai,4887.827039
Serbi,5073.074945
Namib,5078.51302
Domin,5166.150359
Small,5214.296259
Peru,5386.007238
Iran',5674.923927
Cuba,5701.962671
Belar,5818.854859
Azerb,5843.169753
Upper,5943.796494
Arab ,6047.841257
Europ,6138.336529
St. V,6172.582317
Colom,6179.399054
Bulga,6334.682132
Maldi,6552.484491
Domin,6630.195154
Monte,6635.90802
St. L,6814.396924
Botsw,6980.361809
Middl,7073.627109
Panam,7229.112201
South,7266.078871
East ,7414.704562
Grena,7485.905205
Mauri,7586.969533
Roman,7670.303763
Costa,7773.185476
Surin,8320.64783
Latin,8451.346885
Leban,8551.852416
Carib,8588.746458
Malay,8754.24282
Latin,8758.709771
Mexic,8884.560103
Kazak,9070.009729
Argen,9132.957259
World,9307.167804
Gabon,9321.955869
Palau,9601.530341
Turke,10135.42092
Russi,10709.51196
Latvi,10723.35626
Seych,10805.09942
Brazi,10978.09355
Lithu,11046.05185
Urugu,11520.2937
Polan,12302.02992
Chile,12684.93232
Hunga,12750.29865
St. K,12904.06685
Antig,13315.24327
Croat,13326.50628
Venez,13559.33182
Eston,14109.7834
Trini,15561.84749
Barba,15812.27978
Slova,16036.06927
High ,16281.49791
Equat,17612.75793
Czech,18866.85523
Saudi,19326.58255
Malta,19624.85381
Korea,20540.17693
Bahra,20545.98827
Oman,20983.90034
Portu,21381.90396
Baham,21881.08394
Europ,22538.72416
Slove,22897.93876
Aruba,24289.14152
Greec,25850.50196
Puert,26106.38803
Cypru,27889.03718
Spain,29862.96489
Israe,30389.12219
Brune,30880.34486
Europ,32073.93277
Hong ,32558.26248
New Z,32796.09016
Italy,33760.58975
Unite,34048.53025
OECD ,35002.07921
High ,35365.48046
Euro ,36346.86908
Unite,36703.36179
Franc,39186.02244
Icela,39507.14423
High ,39897.46368
Kuwai,40090.74627
Germa,40144.50942
Singa,42783.72245
Belgi,42960.41969
Japan,43117.76827
Finla,43846.30319
Austr,44723.20394
Canad,46211.53386
Nethe,46468.4009
Irela,46492.06014
North,48152.03135
Unite,48357.68451
Swede,49359.86692
Austr,51746.11693
Macao,53045.87903
Denma,56485.89444
Switz,70370.01637
Qatar,71510.15575
Norwa,86155.52905
Bermu,88207.32756
Luxem,102009.3527
Monac,145229.8379
