Country,number
Aruba,24289.14152
Andorra,
Afghanistan,561.1976175
Angola,4218.649126
Albania,3764.326348
Arab World,6047.841257
United Arab Emirates,34048.53025
Argentina,9132.957259
Armenia,3124.788199
American Samoa,
Antigua and Barbuda,13315.24327
Australia,51746.11693
Austria,44723.20394
Azerbaijan,5843.169753
Burundi,219.5297995
Belgium,42960.41969
Benin,689.6483313
Burkina Faso,592.6074699
Bangladesh,664.0642317
Bulgaria,6334.682132
Bahrain,20545.98827
Bahamas'The,21881.08394
Bosnia and Herzegovina,4361.877138
Belarus,5818.854859
Belize,4529.885449
Bermuda,88207.32756
Bolivia,1934.675258
Brazil,10978.09355
Barbados,15812.27978
Brunei Darussalam,30880.34486
Bhutan,2211.232907
Botswana,6980.361809
Sub-Saharan Africa (IFC classification),
Central African Republic,456.5634087
Canada,46211.53386
East Asia and the Pacific (IFC classification),
Europe and Central Asia (IFC classification),
Switzerland,70370.01637
Channel Islands,
Chile,12684.93232
China,4433.36122
Cote d'Ivoire,1207.84514
Latin America and the Caribbean (IFC classification),
Middle East and North Africa (IFC classification),
Cameroon,1090.619066
Congo' Rep.,2920.406708
Colombia,6179.399054
Comoros,795.4784368
Cape Verde,3413.263369
Costa Rica,7773.185476
South Asia (IFC classification),
Caribbean small states,8588.746458
Cuba,5701.962671
Curacao,
Cayman Islands,
Cyprus,27889.03718
Czech Republic,18866.85523
Germany,40144.50942
Djibouti,
Dominica,6630.195154
Denmark,56485.89444
Dominican Republic,5166.150359
Algeria,4349.569325
East Asia & Pacific (developing only),3885.15356
East Asia & Pacific (all income levels),7414.704562
Europe & Central Asia (developing only),6138.336529
Europe & Central Asia (all income levels),22538.72416
Ecuador,4500.591558
Egypt' Arab Rep.,2803.532963
Euro area,36346.86908
Eritrea,368.7477582
Spain,29862.96489
Estonia,14109.7834
Ethiopia,302.0980047
European Union,32073.93277
Finland,43846.30319
Fiji,3747.674635
France,39186.02244
Faeroe Islands,
Micronesia'Fed. Sts.,2838.448841
Gabon,9321.955869
United Kingdom,36703.36179
Georgia,2613.689508
Ghana,1326.066112
Guinea,435.448888
Gambia'The,566.3353254
Guinea-Bissau,526.5210239
Equatorial Guinea,17612.75793
Greece,25850.50196
Grenada,7485.905205
Greenland,
Guatemala,2882.400219
Guam,
Guyana,2873.951538
High income,35365.48046
Hong Kong SAR' China,32558.26248
Honduras,2063.931749
Heavily indebted poor countries (HIPC),692.6344654
Croatia,13326.50628
Haiti,670.4032924
Hungary,12750.29865
Indonesia,2946.656059
Isle of Man,
India,1419.105666
Not classified,
Ireland,46492.06014
Iran' Islamic Rep.,5674.923927
Iraq,4375.906225
Iceland,39507.14423
Israel,30389.12219
Italy,33760.58975
Jamaica,4887.827039
Jordan,4370.721033
Japan,43117.76827
Kazakhstan,9070.009729
Kenya,787.0639352
Kyrgyz Republic,880.0385141
Cambodia,782.6188886
Kiribati,1539.047436
St. Kitts and Nevis,12904.06685
Korea' Rep.,20540.17693
Kosovo,3238.646286
Kuwait,40090.74627
Latin America & Caribbean (developing only),8451.346885
Lao PDR,1122.852316
Lebanon,8551.852416
Liberia,326.6042804
Libya,
St. Lucia,6814.396924
Latin America & Caribbean (all income levels),8758.709771
Least developed countries: UN classification,702.5589241
Low income,514.4096161
Liechtenstein,
Sri Lanka,2400.015575
Lower middle income,1710.234275
Low & middle income,3320.237586
Lesotho,1097.02433
Lithuania,11046.05185
Luxembourg,102009.3527
Latvia,10723.35626
Macao SAR' China,53045.87903
St. Martin (French part),
Morocco,2822.733739
Monaco,145229.8379
Moldova,1631.533195
Madagascar,419.2238133
Maldives,6552.484491
Middle East & North Africa (all income levels),7073.627109
Mexico,8884.560103
Marshall Islands,3112.840467
Middle income,3792.22955
Macedonia' FYR,4442.295954
Mali,673.6946614
Malta,19624.85381
Myanmar,
Middle East & North Africa (developing only),3988.363216
Montenegro,6635.90802
Mongolia,2285.645378
Northern Mariana Islands,
Mozambique,386.9631655
Mauritania,1017.166278
Mauritius,7586.969533
Malawi,359.5795268
Malaysia,8754.24282
North America,48152.03135
Namibia,5078.51302
New Caledonia,
Niger,359.801242
Nigeria,1437.048907
Nicaragua,1474.748819
Netherlands,46468.4009
High income: nonOECD,16281.49791
Norway,86155.52905
Nepal,596.3785934
New Zealand,32796.09016
High income: OECD,39897.46368
OECD members,35002.07921
Oman,20983.90034
Other small states,4273.572893
Pakistan,1024.588886
Panama,7229.112201
Peru,5386.007238
Philippines,2135.918407
Palau,9601.530341
Papua New Guinea,1382.143749
Poland,12302.02992
Puerto Rico,26106.38803
Korea' Dem. Rep.,
Portugal,21381.90396
Paraguay,3100.50164
Pacific island small states,2904.19054
French Polynesia,
Qatar,71510.15575
Romania,7670.303763
Russian Federation,10709.51196
Rwanda,519.0223545
South Asia,1290.674988
Saudi Arabia,19326.58255
Sudan,1422.368103
Senegal,998.5995764
Singapore,42783.72245
Solomon Islands,1289.067051
Sierra Leone,447.7533238
El Salvador,3444.456148
San Marino,
Somalia,
Serbia,5073.074945
Sub-Saharan Africa (developing only),1311.505531
South Sudan,1526.917011
Sub-Saharan Africa (all income levels),1324.762532
Small states,5214.296259
Sao Tome and Principe,1127.981667
Suriname,8320.64783
Slovak Republic,16036.06927
Slovenia,22897.93876
Sweden,49359.86692
Swaziland,3093.53953
Sint Maarten (Dutch part),
Seychelles,10805.09942
Syrian Arab Republic,2746.85381
Turks and Caicos Islands,
Chad,909.2999069
Togo,503.1617885
Thailand,4802.662758
Tajikistan,739.7378228
Turkmenistan,4392.719583
Timor-Leste,817.766621
Tonga,3546.77782
Trinidad and Tobago,15561.84749
Tunisia,4206.779922
Turkey,10135.42092
Tuvalu,3238.496111
Tanzania,524.6937886
Uganda,505.9876849
Ukraine,2973.981709
Upper middle income,5943.796494
Uruguay,11520.2937
United States,48357.68451
Uzbekistan,1377.082143
St. Vincent and the Grenadines,6172.582317
Venezuela' RB,13559.33182
Virgin Islands (U.S.),
Vietnam,1333.583526
Vanuatu,2965.75121
West Bank and Gaza,
World,9307.167804
Samoa,3075.651529
Yemen' Rep.,1400.667685
South Africa,7266.078871
Congo' Dem. Rep.,211.2643588
Zambia,1224.953863
Zimbabwe,568.4275419
